date,room_available,room_booked,is_weekend,room_price,competiter_price
2024-01-01,100,59,False,2273,2096
2024-01-02,100,54,False,3266,2240
2024-01-03,100,56,False,2747,3367
2024-01-04,100,51,False,2290,3185
2024-01-05,100,52,False,2196,2133
2024-01-06,100,92,True,3223,3573
2024-01-07,100,60,True,2343,2945
2024-01-08,100,76,False,3207,2684
2024-01-09,100,77,False,2541,2439
2024-01-10,100,52,False,3449,2604
2024-01-11,100,76,False,2053,3458
2024-01-12,100,56,False,3286,2451
2024-01-13,100,80,True,2260,2197
2024-01-14,100,92,True,3118,1957
2024-01-15,100,80,False,3116,2901
2024-01-16,100,61,False,2795,2445
2024-01-17,100,52,False,3049,2567
2024-01-18,100,80,False,2159,2500
2024-01-19,100,79,False,2711,3134
2024-01-20,100,68,True,2215,3287
2024-01-21,100,87,True,3393,2917
2024-01-22,100,69,False,2553,3484
2024-01-23,100,78,False,2052,2057
2024-01-24,100,87,False,2437,2477
2024-01-25,100,60,False,3301,3085
2024-01-26,100,82,False,2168,2104
2024-01-27,100,91,True,2954,3491
2024-01-28,100,45,True,2669,2295
2024-01-29,100,79,False,3051,2285
2024-01-30,100,61,False,2789,3562
2024-01-31,100,53,False,2536,2263
2024-02-01,100,94,False,2350,3022
2024-02-02,100,86,False,2866,2109
2024-02-03,100,70,True,2883,3378
2024-02-04,100,58,True,2332,2223
2024-02-05,100,63,False,2115,2826
2024-02-06,100,78,False,2608,2555
2024-02-07,100,59,False,2265,2996
2024-02-08,100,90,False,2252,2526
2024-02-09,100,59,False,2458,3013
2024-02-10,100,91,True,3048,2150
2024-02-11,100,86,True,3029,3469
2024-02-12,100,90,False,2059,2567
2024-02-13,100,72,False,2994,3373
2024-02-14,100,82,False,2593,2349
2024-02-15,100,47,False,2480,3017
2024-02-16,100,74,False,2654,1916
2024-02-17,100,47,True,2084,2031
2024-02-18,100,71,True,3409,2006
2024-02-19,100,60,False,3004,2207
2024-02-20,100,46,False,2238,3492
2024-02-21,100,42,False,2849,3061
2024-02-22,100,68,False,2153,3354
2024-02-23,100,81,False,2348,3391
2024-02-24,100,60,True,2135,2713
2024-02-25,100,85,True,2430,3261
2024-02-26,100,59,False,2841,2893
2024-02-27,100,78,False,3155,2197
2024-02-28,100,74,False,2806,2446
2024-02-29,100,49,False,3321,2877
2024-03-01,100,58,False,3498,2741
2024-03-02,100,52,True,2514,2150
2024-03-03,100,84,True,3223,3250
2024-03-04,100,76,False,2934,2089
2024-03-05,100,44,False,2257,3070
2024-03-06,100,73,False,3273,3293
2024-03-07,100,45,False,2044,2611
2024-03-08,100,40,False,3369,1984
2024-03-09,100,73,True,2953,2187
2024-03-10,100,90,True,2122,2518
2024-03-11,100,70,False,2071,3190
2024-03-12,100,61,False,2851,2113
2024-03-13,100,41,False,2576,2550
2024-03-14,100,66,False,2418,2542
2024-03-15,100,72,False,2248,3527
2024-03-16,100,91,True,3068,2894
2024-03-17,100,82,True,3244,2637
2024-03-18,100,60,False,2976,3310
